,links,id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,estimated_diameter,is_potentially_hazardous_asteroid,close_approach_data,is_sentry_object
0,http://api.nasa.gov/neo/rest/v1/neo/2302169?api_key=gaOGNhbzldLgMVfirHiPDhvaoJf9bQFpAxbIdd6b,2302169,2302169,302169 (2001 TD45),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2302169,20.0,"{'kilometers': {'estimated_diameter_min': 0.2658, 'estimated_diameter_max': 0.5943468684}, 'meters': {'estimated_diameter_min': 265.8, 'estimated_diameter_max': 594.3468684194}, 'miles': {'estimated_diameter_min': 0.1651604118, 'estimated_diameter_max': 0.369309908}, 'feet': {'estimated_diameter_min': 872.047272, 'estimated_diameter_max': 1949.9569797852}}",True,"[{'close_approach_date': '2023-10-26', 'close_approach_date_full': '2023-Oct-26 23:00', 'epoch_date_close_approach': 1698361200000, 'relative_velocity': {'kilometers_per_second': '25.6784745576', 'kilometers_per_hour': '92442.5084074266', 'miles_per_hour': '57440.1797379368'}, 'miss_distance': {'astronomical': '0.0325847781', 'lunar': '12.6754786809', 'kilometers': '4874613.398182647', 'miles': '3028944.3116166486'}, 'orbiting_body': 'Earth'}]",False
1,http://api.nasa.gov/neo/rest/v1/neo/2469219?api_key=gaOGNhbzldLgMVfirHiPDhvaoJf9bQFpAxbIdd6b,2469219,2469219,469219 Kamo`oalewa (2016 HO3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2469219,24.33,"{'kilometers': {'estimated_diameter_min': 0.0361871997, 'estimated_diameter_max': 0.0809170384}, 'meters': {'estimated_diameter_min': 36.1871996599, 'estimated_diameter_max': 80.917038355}, 'miles': {'estimated_diameter_min': 0.0224856764, 'estimated_diameter_max': 0.050279501}, 'feet': {'estimated_diameter_min': 118.7244121323, 'estimated_diameter_max': 265.4758561166}}",False,"[{'close_approach_date': '2023-10-26', 'close_approach_date_full': '2023-Oct-26 13:35', 'epoch_date_close_approach': 1698327300000, 'relative_velocity': {'kilometers_per_second': '4.5925006103', 'kilometers_per_hour': '16533.002196929', 'miles_per_hour': '10272.9646150863'}, 'miss_distance': {'astronomical': '0.1307626372', 'lunar': '50.8666658708', 'kilometers': '19561812.000702764', 'miles': '12155146.3356115832'}, 'orbiting_body': 'Earth'}]",False
2,http://api.nasa.gov/neo/rest/v1/neo/3172332?api_key=gaOGNhbzldLgMVfirHiPDhvaoJf9bQFpAxbIdd6b,3172332,3172332,(2004 BV18),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3172332,25.9,"{'kilometers': {'estimated_diameter_min': 0.0175612318, 'estimated_diameter_max': 0.0392681082}, 'meters': {'estimated_diameter_min': 17.561231848, 'estimated_diameter_max': 39.2681081809}, 'miles': {'estimated_diameter_min': 0.0109120402, 'estimated_diameter_max': 0.0244000636}, 'feet': {'estimated_diameter_min': 57.6155918963, 'estimated_diameter_max': 128.8323800441}}",False,"[{'close_approach_date': '2023-10-26', 'close_approach_date_full': '2023-Oct-26 14:47', 'epoch_date_close_approach': 1698331620000, 'relative_velocity': {'kilometers_per_second': '3.2043335381', 'kilometers_per_hour': '11535.6007370147', 'miles_per_hour': '7167.7736912856'}, 'miss_distance': {'astronomical': '0.3077423133', 'lunar': '119.7117598737', 'kilometers': '46037594.578552671', 'miles': '28606434.7731060198'}, 'orbiting_body': 'Earth'}]",False
3,http://api.nasa.gov/neo/rest/v1/neo/3180147?api_key=gaOGNhbzldLgMVfirHiPDhvaoJf9bQFpAxbIdd6b,3180147,3180147,(2004 HQ1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3180147,23.47,"{'kilometers': {'estimated_diameter_min': 0.0537718498, 'estimated_diameter_max': 0.1202375114}, 'meters': {'estimated_diameter_min': 53.7718497693, 'estimated_diameter_max': 120.23751136}, 'miles': {'estimated_diameter_min': 0.0334122681, 'estimated_diameter_max': 0.0747121027}, 'feet': {'estimated_diameter_min': 176.416835597, 'estimated_diameter_max': 394.4800367703}}",False,"[{'close_approach_date': '2023-10-26', 'close_approach_date_full': '2023-Oct-26 07:42', 'epoch_date_close_approach': 1698306120000, 'relative_velocity': {'kilometers_per_second': '11.7667183346', 'kilometers_per_hour': '42360.1860044171', 'miles_per_hour': '26320.9722425779'}, 'miss_distance': {'astronomical': '0.1373302798', 'lunar': '53.4214788422', 'kilometers': '20544317.344584026', 'miles': '12765646.8470145188'}, 'orbiting_body': 'Earth'}]",False
4,http://api.nasa.gov/neo/rest/v1/neo/3395959?api_key=gaOGNhbzldLgMVfirHiPDhvaoJf9bQFpAxbIdd6b,3395959,3395959,(2007 WQ3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3395959,21.16,"{'kilometers': {'estimated_diameter_min': 0.1557955241, 'estimated_diameter_max': 0.3483693825}, 'meters': {'estimated_diameter_min': 155.7955241278, 'estimated_diameter_max': 348.36938254}, 'miles': {'estimated_diameter_min': 0.0968068206, 'estimated_diameter_max': 0.2164666316}, 'feet': {'estimated_diameter_min': 511.1401873795, 'estimated_diameter_max': 1142.9442050126}}",False,"[{'close_approach_date': '2023-10-26', 'close_approach_date_full': '2023-Oct-26 13:03', 'epoch_date_close_approach': 1698325380000, 'relative_velocity': {'kilometers_per_second': '9.0066375295', 'kilometers_per_hour': '32423.8951060405', 'miles_per_hour': '20146.9474896395'}, 'miss_distance': {'astronomical': '0.3381554741', 'lunar': '131.5424794249', 'kilometers': '50587338.654200167', 'miles': '31433514.6482776246'}, 'orbiting_body': 'Earth'}]",False
5,http://api.nasa.gov/neo/rest/v1/neo/3516487?api_key=gaOGNhbzldLgMVfirHiPDhvaoJf9bQFpAxbIdd6b,3516487,3516487,(2010 GN67),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3516487,22.18,"{'kilometers': {'estimated_diameter_min': 0.0973991073, 'estimated_diameter_max': 0.217791025}, 'meters': {'estimated_diameter_min': 97.3991073414, 'estimated_diameter_max': 217.7910249632}, 'miles': {'estimated_diameter_min': 0.0605209807, 'estimated_diameter_max': 0.135329027}, 'feet': {'estimated_diameter_min': 319.5508873299, 'estimated_diameter_max': 714.5375063401}}",False,"[{'close_approach_date': '2023-10-26', 'close_approach_date_full': '2023-Oct-26 08:34', 'epoch_date_close_approach': 1698309240000, 'relative_velocity': {'kilometers_per_second': '14.4013560753', 'kilometers_per_hour': '51844.8818709007', 'miles_per_hour': '32214.3934047272'}, 'miss_distance': {'astronomical': '0.0985700547', 'lunar': '38.3437512783', 'kilometers': '14745870.228903489', 'miles': '9162658.8821025882'}, 'orbiting_body': 'Earth'}]",False
6,http://api.nasa.gov/neo/rest/v1/neo/3837784?api_key=gaOGNhbzldLgMVfirHiPDhvaoJf9bQFpAxbIdd6b,3837784,3837784,(2019 AR8),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3837784,25.61,"{'kilometers': {'estimated_diameter_min': 0.0200703514, 'estimated_diameter_max': 0.0448786701}, 'meters': {'estimated_diameter_min': 20.0703514113, 'estimated_diameter_max': 44.8786700881}, 'miles': {'estimated_diameter_min': 0.0124711343, 'estimated_diameter_max': 0.0278863041}, 'feet': {'estimated_diameter_min': 65.8476117244, 'estimated_diameter_max': 147.2397359718}}",False,"[{'close_approach_date': '2023-10-26', 'close_approach_date_full': '2023-Oct-26 19:01', 'epoch_date_close_approach': 1698346860000, 'relative_velocity': {'kilometers_per_second': '6.6263316087', 'kilometers_per_hour': '23854.7937912887', 'miles_per_hour': '14822.4411754816'}, 'miss_distance': {'astronomical': '0.1431281581', 'lunar': '55.6768535009', 'kilometers': '21411667.588783247', 'miles': '13304593.2974809286'}, 'orbiting_body': 'Earth'}]",False
7,http://api.nasa.gov/neo/rest/v1/neo/3841756?api_key=gaOGNhbzldLgMVfirHiPDhvaoJf9bQFpAxbIdd6b,3841756,3841756,(2019 JN2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3841756,25.65,"{'kilometers': {'estimated_diameter_min': 0.0197040262, 'estimated_diameter_max': 0.044059542}, 'meters': {'estimated_diameter_min': 19.7040262138, 'estimated_diameter_max': 44.0595420444}, 'miles': {'estimated_diameter_min': 0.0122435105, 'estimated_diameter_max': 0.0273773217}, 'feet': {'estimated_diameter_min': 64.6457573632, 'estimated_diameter_max': 144.5523079211}}",False,"[{'close_approach_date': '2023-10-26', 'close_approach_date_full': '2023-Oct-26 19:30', 'epoch_date_close_approach': 1698348600000, 'relative_velocity': {'kilometers_per_second': '5.0220276357', 'kilometers_per_hour': '18079.2994886132', 'miles_per_hour': '11233.7736183553'}, 'miss_distance': {'astronomical': '0.1520809279', 'lunar': '59.1594809531', 'kilometers': '22750982.881463573', 'miles': '14136805.2301723874'}, 'orbiting_body': 'Earth'}]",False
8,http://api.nasa.gov/neo/rest/v1/neo/54049794?api_key=gaOGNhbzldLgMVfirHiPDhvaoJf9bQFpAxbIdd6b,54049794,54049794,(2020 OY4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54049794,30.35,"{'kilometers': {'estimated_diameter_min': 0.0022623249, 'estimated_diameter_max': 0.0050587123}, 'meters': {'estimated_diameter_min': 2.2623249055, 'estimated_diameter_max': 5.058712276}, 'miles': {'estimated_diameter_min': 0.0014057431, 'estimated_diameter_max': 0.0031433371}, 'feet': {'estimated_diameter_min': 7.4223260431, 'estimated_diameter_max': 16.5968255835}}",False,"[{'close_approach_date': '2023-10-26', 'close_approach_date_full': '2023-Oct-26 04:30', 'epoch_date_close_approach': 1698294600000, 'relative_velocity': {'kilometers_per_second': '13.298677559', 'kilometers_per_hour': '47875.2392124256', 'miles_per_hour': '29747.811831743'}, 'miss_distance': {'astronomical': '0.3551607043', 'lunar': '138.1575139727', 'kilometers': '53131284.870979841', 'miles': '33014249.5277341658'}, 'orbiting_body': 'Earth'}]",False
9,http://api.nasa.gov/neo/rest/v1/neo/54087440?api_key=gaOGNhbzldLgMVfirHiPDhvaoJf9bQFpAxbIdd6b,54087440,54087440,(2020 VY),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54087440,25.0,"{'kilometers': {'estimated_diameter_min': 0.02658, 'estimated_diameter_max': 0.0594346868}, 'meters': {'estimated_diameter_min': 26.58, 'estimated_diameter_max': 59.4346868419}, 'miles': {'estimated_diameter_min': 0.0165160412, 'estimated_diameter_max': 0.0369309908}, 'feet': {'estimated_diameter_min': 87.2047272, 'estimated_diameter_max': 194.9956979785}}",False,"[{'close_approach_date': '2023-10-26', 'close_approach_date_full': '2023-Oct-26 22:38', 'epoch_date_close_approach': 1698359880000, 'relative_velocity': {'kilometers_per_second': '23.4832502297', 'kilometers_per_hour': '84539.7008268718', 'miles_per_hour': '52529.682438786'}, 'miss_distance': {'astronomical': '0.485139328', 'lunar': '188.719198592', 'kilometers': '72575810.12203136', 'miles': '45096517.256538368'}, 'orbiting_body': 'Earth'}]",False
